id,key,value,concept_code,parent_id,sort_order,category,default,reserved,is_available
,C06,C06 Research Facilities Construction Grant,,,1,federal_grant_code,,,1
,D43,D43 International Research Training Grants,,,2,federal_grant_code,,,1
,D71,D71 International Research Training Planning Grant,,,3,federal_grant_code,,,1
,DP1,DP1 NIH Director's Pioneer Award (NDPA),,,4,federal_grant_code,,,1
,DP2,DP2 NIH Director's New Innovator Awards,,,5,federal_grant_code,,,1
,DP3,DP3 Type 1 Diabetes Targeted Research Award,,,6,federal_grant_code,,,1
,DP4,DP4 NIH Director's Pathfinder Award - Multi-Yr Funding,,,7,federal_grant_code,,,1
,DP5,DP5 Early Independence Award,,,8,federal_grant_code,,,1
,DP7,DP7 NIH Director's Workforce Innovation Award,,,9,federal_grant_code,,,1
,E11,E11 Grants for Public Health Special Projects,,,10,federal_grant_code,,,1
,F05,F05 International Research Fellowships (FIC),,,11,federal_grant_code,,,1
,F30,F30 Individual Predoctoral NRSA for M.D./Ph.D. Fellowships,,,12,federal_grant_code,,,1
,F31,F31 Predoctoral Individual National Research Service Award,,,13,federal_grant_code,,,1
,F32,F32 Postdoctoral Individual National Research Service Award,,,14,federal_grant_code,,,1
,F33,F33 National Research Service Awards for Senior Fellows,,,15,federal_grant_code,,,1
,F37,F37 Medical Informatics Fellowships,,,16,federal_grant_code,,,1
,F38,F38 Applied Medical Informatics Fellowships,,,17,federal_grant_code,,,1
,F99,F99 Pre-doc to Post-doc Transition Award,,,18,federal_grant_code,,,1
,FI2,FI2 Intramural Postdoctoral Research Associate,,,19,federal_grant_code,,,1
,G07,G07 Resources Improvement Grant, ,,20,federal_grant_code,,,1
,G08,G08 Resources Project Grant (NLM), ,,21,federal_grant_code,,,1
,G11,G11 Extramural Associate Research Development Award (EARDA), ,,22,federal_grant_code,,,1
,G12,G12 Research Centers in Minority Institutions Award, ,,23,federal_grant_code,,,1
,G13,G13 Health Sciences Publication Support Awards (NLM), ,,24,federal_grant_code,,,1
,G20,"G20 Grants for Repair, Renovation and Modernization of Existing Research Facilities", ,,25,federal_grant_code,,,1
,G94,G94 Administrative Support for Public Health Service Agency Foundations, ,,26,federal_grant_code,,,1
,H13,H13 Conferences Active, ,,27,federal_grant_code,,,1
,H25,H25 Venereal Disease Control, ,,28,federal_grant_code,,,1
,H50,"H50 Maternal and Child Health Services Project, RB Funds Active", ,,29,federal_grant_code,,,1
,H57,H57 Indian Health Service Loan Repayment Program, ,,30,federal_grant_code,,,1
,H62,H62 Services or Education on AIDS, ,,31,federal_grant_code,,,1
,H64,H64 State and Community-Based Childhood Lead Poisoning Prevention Program, ,,32,federal_grant_code,,,1
,H75,H75 Health Investigations/Assessments of Control/Preven. Methods, ,,33,federal_grant_code,,,1
,H79,H79 Mental Health and/or Substance Abuse Services Grants, ,,34,federal_grant_code,,,1
,HD4,HD4 Drug Use/Alcohol Abuse Prevention Demo: Community Partnership Study, ,,35,federal_grant_code,,,1
,I01,I01 Non-HHS Research Projects, ,,36,federal_grant_code,,,1
,IK3,IK3 Non-DHHS Nursing Research Initiative, ,,37,federal_grant_code,,,1
,K00,K00 Post-doctoral Transition Award, ,,38,federal_grant_code,,,1
,K01,K01 Research Scientist Development Award - Research & Training, ,,39,federal_grant_code,,,1
,K02,K02 Research Scientist Development Award - Research, ,,40,federal_grant_code,,,1
,K05,K05 Research Scientist Award, ,,41,federal_grant_code,,,1
,K06,K06 Research Career Awards, ,,42,federal_grant_code,,,1
,K07,K07 Academic/Teacher Award (ATA), ,,43,federal_grant_code,,,1
,K08,K08 Clinical Investigator Award (CIA), ,,44,federal_grant_code,,,1
,K12,K12 Physician Scientist Award (Program) (PSA), ,,45,federal_grant_code,,,1
,K14,K14 Minority School Faculty Development Awards, ,,46,federal_grant_code,,,1
,K18,K18 The Career Enhancement Award, ,,47,federal_grant_code,,,1
,K21,K21 Scientist Development Award, ,,48,federal_grant_code,,,1
,K22,K22 Career Transition Award, ,,49,federal_grant_code,,,1
,K23,K23 Mentored Patient-Oriented Research Career Development Award, ,,50,federal_grant_code,,,1
,K24,K24 Midcareer Investigator Award in Patient-Oriented Research, ,,51,federal_grant_code,,,1
,K25,K25 Mentored Quantitative Research Career Development Award, ,,52,federal_grant_code,,,1
,K26,K26 Midcareer Investigator Award in Biomedical and Behavioral Research, ,,53,federal_grant_code,,,1
,K43,K43 International Research Career Development Award, ,,54,federal_grant_code,,,1
,K76,K76 Emerging Leaders Career Development Award, ,,55,federal_grant_code,,,1
,K99,K99 Career Transition Award, ,,56,federal_grant_code,,,1
,KD1,KD1 Mental Health and/or Substance Abuse KD&A Grants, ,,57,federal_grant_code,,,1
,KL1,KL1 Linked Research Career Development Award, ,,58,federal_grant_code,,,1
,KL2,KL2 Mentored Career Development Award, ,,59,federal_grant_code,,,1
,KM1,KM1 Institutional Career Enhancement Awards - Multi-Yr Funding, ,,60,federal_grant_code,,,1
,L30,L30 Loan Repayment Program for Clinical Researchers, ,,61,federal_grant_code,,,1
,L32,L32 Loan Repayment Program for Clinical Researchers from Disadvantaged Backgrounds, ,,62,federal_grant_code,,,1
,L40,L40 Loan Repayment Program for Pediatric Research, ,,63,federal_grant_code,,,1
,L50,L50 Loan Repayment Program for Contraception and Infertility Research, ,,64,federal_grant_code,,,1
,L60,L60 Loan Repayment Program for Health Disparities Research, ,,65,federal_grant_code,,,1
,M01,M01 General Clinical Research Centers Program, ,,66,federal_grant_code,,,1
,OT1,OT1 Pre-Application for an Other Transaction Award, ,,67,federal_grant_code,,,1
,OT2,OT2 Research Project-Other Transaction Award, ,,68,federal_grant_code,,,1
,P01,P01 Research Program Projects, ,,69,federal_grant_code,,,1
,P20,P20 Exploratory Grants, ,,70,federal_grant_code,,,1
,P2C,P2C Resource-Related Research Multi-Component Projects and Centers, ,,71,federal_grant_code,,,1
,P30,P30 Center Core Grants, ,,72,federal_grant_code,,,1
