id,key,value,concept_code,parent_id,sort_order,category,default,reserved,is_available
,admin_core_ctsa,Administrative Core (CTSA),,,1,ontology_tag,,,1
,informatics_ctsa,Informatics (CTSA),,,2,ontology_tag,,,1
,community_engagement_ctsa,Community Engagement (CTSA),,,3,ontology_tag,,,1
,team_science_ctsa,Multidisciplinary Team Science (CTSA),,,4,ontology_tag,,,1
,workforce_ctsa,Translational Workforce Development (CTSA),,,5,ontology_tag,,,1
,pilot_ctsa,Pilot Translational Clinical Studies (CTSA),,,6,ontology_tag,,,1
,berd_ctsa,"CTSA-Biostatistics, Epidemiology & Research Design (CTSA)",,,7,ontology_tag,,,1
,regulatory_ctsa,Regulatory Knowledge & Support (CTSA),,,8,ontology_tag,,,1
,special_population_ctsa,Integrating Special Populations (CTSA),,,9,ontology_tag,,,1
,clinical_interaction_ctsa,Participant & Clinical Interactions (CTSA),,,10,ontology_tag,,,1
,network_capacity_ctsa,Network Capacity (CTSA),,,11,ontology_tag,,,1
,optional_program_ctsa,Optional Programs (CTSA),,,12,ontology_tag,,,1
,admin_core_ctr,Administratiove Core (CTR),,,13,ontology_tag,,,1
,community_engagement_ctr,Community Engagement & Outreach (CTR),,,14,ontology_tag,,,1
,professional_development_ctr,Professional Development (CTR),,,15,ontology_tag,,,1
,pilot_ctr,Pilot Projects Program (CTR),,,16,ontology_tag,,,1
,berd_ctr,"Biostatistics, Epidemiology & Research Design (CTR)",,,17,ontology_tag,,,1
,evaluation_ctr,Tracking & Evaluation (CTR),,,18,ontology_tag,,,1
,optional_core_ctr,Optional Core (CTR),,,19,ontology_tag,,,1
