id,key,value,concept_code,parent_id,sort_order,category,default,reserved,is_available
,1000,Predominantly Non-Clinical or Lab-Based Research Training (1000),,,1,subspecialty,,,1
,1100,BIOCHEMISTRY (1100),,,2,subspecialty,,,1
,1110,Biological Chemistry (1110),,,3,subspecialty,,,1
,1120,Bioenergetics (1120),,,4,subspecialty,,,1
,1130,Enzymology (1130),,,5,subspecialty,,,1
,1140,Metabolism (1140),,,6,subspecialty,,,1
,1200,BIOENGINEERING (1200),,,7,subspecialty,,,1
,1210,Bioelectric/Biomagnetic (1210),,,8,subspecialty,,,1
,1220,Biomaterials (1220),,,9,subspecialty,,,1
,1230,Biomechanical Engineering (1230),,,10,subspecialty,,,1
,1240,Imaging (1240),,,11,subspecialty,,,1
,1250,Instrumentation and Devices (1250),,,12,subspecialty,,,1
,1260,Mathematical Modeling (1260),,,13,subspecialty,,,1
,1270,Medical Implant Science (1270),,,14,subspecialty,,,1
,1280,Nanotechnology (1280),,,15,subspecialty,,,1
,1290,Rehabilitation Engineering (1290),,,16,subspecialty,,,1
,1310,Tissue Engineering (1310),,,17,subspecialty,,,1
,1400,BIOPHYSICS (1400),,,18,subspecialty,,,1
,1410,Kinetics (1410),,,19,subspecialty,,,1
,1420,Spectroscopy (1420),,,20,subspecialty,,,1
,1430,Structural Biology (1430),,,21,subspecialty,,,1
,1440,Theoretical Biophysics (1440),,,22,subspecialty,,,1
,1500,BIOTECHNOLOGY (1500),,,23,subspecialty,,,1
,1510,Applied Molecular Biology (1510),,,24,subspecialty,,,1
,1520,Bioprocessing and Fermentation (1520),,,25,subspecialty,,,1
,1530,Metabolic Engineering (1530),,,26,subspecialty,,,1
,1600,CELL AND DEVELOPMENTAL BIOLOGY (1600),,,27,subspecialty,,,1
,1610,Cell Biology (1610),,,28,subspecialty,,,1
,1620,Developmental Biology (1620),,,29,subspecialty,,,1
,1700,CHEMISTRY (1700),,,30,subspecialty,,,1
,1710,Analytical Chemistry (1710),,,31,subspecialty,,,1
