id,key,value,concept_code,parent_id,sort_order,category,default,reserved,is_available
,adn,ADN,,,1,user_credential,,,1
,ba,BA,,,2,user_credential,,,1
,bsn,BSN,,,3,user_credential,,,1
,dds,DDS,,,4,user_credential,,,1
,dmd,DMD,,,5,user_credential,,,1
,dnp,DNP,,,6,user_credential,,,1
,osteopathic,DO,,,7,user_credential,,,1
,dvm,DVM,,,8,user_credential,,,1
,ma,MA,,,9,user_credential,,,1
,mba,MBA,,,10,user_credential,,,1
,md,MD,,,11,user_credential,,,1
,md_phd,MD/PhD,,,12,user_credential,,,1
,ms,MS,,,13,user_credential,,,1
,msn,MSN,,,14,user_credential,,,1
,pharmd,PharmD,,,15,user_credential,,,1
,phd,PhD,,,16,user_credential,,,1
,rn,RN,,,17,user_credential,,,1
,none,None,,,18,user_credential,,,1
,other,Other,,,19,user_credential,,,1
